bloco,chave,qtd,pct,variantes
B1_BRUTO,Diretor Eldorado Brasil Celulose (Três Lagoas MS),1,,
B1_BRUTO,Gerente de Engenharia e Manutenção,1,,
B1_BRUTO,Capital Projects & CapEx Strategy,1,,
B1_BRUTO,Gerente de Projetos de Meio Ambiente na DTA ...,1,,
B1_BRUTO,Specialist Aftermarket Buyer at CNH Industrial ...,1,,
B1_BRUTO,Supply Chain Manager at Embraer,1,,
B1_BRUTO,Projetista Mecânico,1,,
B1_BRUTO,COO Sigma Lithium,1,,
B1_BRUTO,Project Engineer at Companhia De Gas Da ...,1,,
B1_BRUTO,Gestor Industrial * Supply Chain ...,1,,
B1_BRUTO,Gerente de suprimentos na Castrol Brasil,1,,
B1_BRUTO,Engenheiro Civil — Porto Guará,1,,
B1_BRUTO,comprador na prefeitura municipal de flores ...,1,,
B1_BRUTO,Gerente de engenharia na FBS Construtora,1,,
B1_BRUTO,Engenheiro Civil e ...,1,,
B1_BRUTO,Gerente de Engenharia na Eletronet,1,,
B1_BRUTO,Supply Chain Planning,1,,
B1_BRUTO,Joint Venture CMPC Celulose + Neltume Ports — operação 2028,1,,
B1_BRUTO,Gerente de Suprimentos na ...,1,,
B1_BRUTO,Representante Brasil Magnésio do Nordeste (empresário/sócio),1,,
B1_BRUTO,Engenheiro Civil e Geotécnico,1,,
B1_BRUTO,Procurement Manager at Ambev,1,,
B1_BRUTO,Head of Procurement at Samsung Electronics,1,,
B1_BRUTO,ENGENHEIRO MECÂNICO SENIOR ...,1,,
B1_BRUTO,Supply Chain expert,1,,
B1_BRUTO,Raw Materials Procurement,1,,
B1_BRUTO,"Estratégia, Tecnologia, CAPEX/MRO, SAP Ariba",1,,
B1_BRUTO,Supply Chain at Embraer S.A,1,,
B1_BRUTO,Gerente de Projetos na OneSubsea,1,,
B1_BRUTO,Gerente de Engenharia na AEGEA,1,,
B1_BRUTO,"Supply Chain, SAP e Processos de Compras",1,,
B1_BRUTO,Gerente de Engenharia e Construção,1,,
B1_BRUTO,Gerente de Suprimentos na Vicunha Holdings,1,,
B1_BRUTO,UPS Supply Chain Solutions,1,,
B1_BRUTO,Procurement l Supply Chain l Buyer l Purchaser l ...,1,,
B1_BRUTO,Gerente de Engenharia na Ecovias Capixaba,1,,
B1_BRUTO,Business Administration / Supply Chain,1,,
B1_BRUTO,Engenheiro de Projetos Senior,1,,
B1_BRUTO,Public Servant,1,,
B1_BRUTO,Comprador Pleno,1,,
B1_BRUTO,Profissional de Compras & Supply Chain,1,,
B1_BRUTO,Gerente de Suprimentos Corporativo,1,,
B1_BRUTO,Compradora Capex,1,,
B1_BRUTO,Societario,1,,
B1_BRUTO,Strategic sourcing,1,,
B1_BRUTO,Coordenador de Energia e Eficiência Energética — Aegea,1,,
B1_BRUTO,Procurement Manager | Gerente Suprimentos,1,,
B1_BRUTO,Capex e Opex.,1,,
B1_BRUTO,Profissional de Logística e Supply Chain,1,,
B1_BRUTO,Senior Procurement & Supply Chain Manager,1,,
B1_BRUTO,gerente de engenharia na USIMINAS S.A,1,,
B1_BRUTO,Gerente de Compras e Licitações,1,,
B1_BRUTO,"Senior Buyer, Engineered Materials",1,,
B1_BRUTO,Gerente de Projetos e Obras,1,,
B1_BRUTO,Gerente de suprimentos / desenvolvimento e ...,1,,
B1_BRUTO,Supply Chain @PsychoBunny,1,,
B1_BRUTO,Engineering Specialist,1,,
B1_BRUTO,"Responsável LC Terminais Portuários (Lyon Capital + CCCC, TGNL São Luís MA)",1,,
